word,prob,k,sort
compared,0.075,31,2
years,0.063,31,3
result,0.03,31,4
higher,0.03,31,5
mentioned,0.029,31,6
bit,0.024,31,7
frank,0.019,31,8
kopfinger,0.018,31,9
market,0.189,32,0
reinsurance,0.057,32,1
business,0.044,32,2
share,0.028,32,3
environment,0.025,32,4
soft,0.025,32,5
europe,0.025,32,6
competitive,0.022,32,7
german,0.021,32,8
time,0.017,32,9
price,0.069,33,0
business,0.059,33,1
increases,0.052,33,2
increase,0.04,33,3
proportional,0.04,33,4
change,0.036,33,5
premium,0.028,33,6
pricing,0.027,33,7
bit,0.025,33,8
volume,0.025,33,9
year,0.25,34,0
half,0.072,34,1
quarter,0.037,34,2
budget,0.029,34,3
increased,0.02,34,4
large_loss_budget,0.02,34,5
expectations,0.018,34,6
basis,0.017,34,7
development,0.016,34,8
increase,0.015,34,9
accounting,0.071,35,0
deposit,0.055,35,1
accounted,0.041,35,2
james,0.04,35,3
treaties,0.04,35,4
andrew,0.032,35,5
urwin,0.03,35,6
ifrs,0.03,35,7
modco,0.03,35,8
contracts,0.023,35,9
rate,0.115,36,0
rates,0.069,36,1
low,0.063,36,2
higher,0.039,36,3
ogden,0.039,36,4
exchange,0.035,36,5
currency,0.026,36,6
expected,0.025,36,7
environment,0.022,36,8
claims,0.02,36,9
bit,0.052,37,0
day,0.048,37,1
investors,0.034,37,2
today,0.03,37,3
number,0.029,37,4
early,0.028,37,5
numbers,0.026,37,6
investor,0.022,37,7
days,0.02,37,8
great,0.019,37,9
impact,0.051,38,0
bit,0.032,38,1
positive,0.031,38,2
reason,0.026,38,3
funds,0.024,38,4
life,0.023,38,5
fully,0.023,38,6
growth,0.022,38,7
expect,0.021,38,8
structured,0.02,38,9
number,0.055,39,0
level,0.041,39,1
large,0.041,39,2
expected,0.036,39,3
quarter,0.036,39,4
mentioned,0.034,39,5
eur,0.034,39,6
extent,0.031,39,7
high,0.03,39,8
transactions,0.027,39,9
capital,0.101,40,0
reserves,0.038,40,1
gains,0.032,40,2
valuation,0.032,40,3
solvency,0.028,40,4
rating,0.026,40,5
increased,0.023,40,6
profit,0.023,40,7
unrealized,0.02,40,8
decrease,0.018,40,9
long,0.098,41,0
term,0.093,41,1
short,0.047,41,2
years,0.038,41,3
tail,0.035,41,4
longer,0.031,41,5
clemens,0.027,41,6
jungsthof,0.02,41,7
balance_sheet,0.02,41,8
view,0.019,41,9
hannover,0.092,42,0
roland_vogel,0.069,42,1
conference,0.05,42,2
sven_althoff,0.046,42,3
today,0.035,42,4
months,0.031,42,5
group,0.029,42,6
report,0.029,42,7
good_morning,0.028,42,8
klaus_miller,0.026,42,9
business,0.229,43,0
write,0.034,43,1
casualty,0.031,43,2
lines,0.027,43,3
reinsurance,0.022,43,4
australia,0.022,43,5
treaty,0.02,43,6
treaties,0.018,43,7
china,0.017,43,8
grow,0.016,43,9
ulrich_wallin,0.1,44,0
guidance,0.094,44,1
year,0.089,44,2
outlook,0.027,44,3
current,0.024,44,4
changed,0.022,44,5
profit,0.021,44,6
development,0.02,44,7
expect,0.02,44,8
plan,0.019,44,9
year,0.097,45,0
good,0.067,45,1
result,0.053,45,2
combined_ratio,0.052,45,3
underwriting,0.05,45,4
target,0.039,45,5
expect,0.033,45,6
cost_capital,0.032,45,7
profitability,0.026,45,8
level,0.022,45,9
reserves,0.088,46,0
loss,0.078,46,1
ratio,0.056,46,2
expense,0.035,46,3
case,0.022,46,4
additional,0.021,46,5
advantage,0.021,46,6
ibnr,0.02,46,7
low,0.02,46,8
feel,0.017,46,9
volatility,0.049,47,0
rate_increases,0.041,47,1
increase,0.039,47,2
reinsurance,0.036,47,3
earnings,0.036,47,4
rates,0.029,47,5
time,0.027,47,6
higher,0.019,47,7
basis,0.018,47,8
increasing,0.017,47,9
